Category,Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"Employment - Forestry, fishing, and hunting",Seattle Region,7469,7941,6981,7063,6905,6604,6410,6525,5853,5772,5502,5746,5697,5697,5694,5307,5118,5163,5075,5057,5030,4891,4807,4817.064,4965.542,5072.509,5068.577,5099.538,5123.343,5144.72,5154.997,5183.093,5221.22,5218.407,5234.405,5242.322,5251.998,5261.351,5263.638,5265.702,5270.214,5275.01,5277.077,5280.428,5284.101,5288.639,5293.376,5297.306,5300.438,5303.148,5307.366,5310.801,5313.18,5318.451,5321.561,5325.664,5329.348,5332.338,5334.994,5336.603
Employment - Mining,Seattle Region,2617,2080,2339,2187,2165,2322,2630,3025,2862,3245,2883,4269,4226,3838,4118,4688,4147,3221,2719,2752,2551,2595,2709,2683.031,2705.263,2711.155,2745.924,2752.072,2765.76,2785.246,2803.188,2825.607,2851.559,2861.895,2877.009,2889.144,2893.988,2893.476,2894.435,2897.22,2900.916,2904.392,2910.238,2915.861,2923.402,2931.694,2940.726,2949.91,2959.057,2969.147,2978.177,2987.342,2998.613,3007.547,3017.808,3027.039,3035.312,3042.181,3047.814,3052.04
Employment - Utilities,Seattle Region,2374,2114,2038,1894,1884,1981,1846,2084,2097,2259,2297,2307,2252,2229,2406,2616,2655,2945,3095,3120,3089,3156,3335,3385.365,3459.528,3457.191,3448.98,3457.24,3472.499,3488.34,3504.339,3517.631,3539.541,3544.392,3556.912,3565.655,3575.228,3583.089,3590.451,3599.306,3610.343,3620.882,3630.571,3641.215,3652.971,3665.647,3678.998,3692.333,3705.974,3720.643,3736.245,3751.321,3767.424,3784.829,3801.467,3818.932,3835.778,3851.693,3866.939,3880.757
Employment - Construction,Seattle Region,131179.003,124922.997,125695,131698,142322.998,155047.001,167712.005,160571.996,130599.996,115569.998,110753,113893,121703.001,129907.998,140059.998,150017.999,156311.996,164193.001,165899.999,161424.994,166440.006,167348.002,165449.997,167887.575,167167.854,169435.553,172035.383,173641.406,177149.463,181223.935,184789.257,188227.414,191394.888,193942.061,196001.729,197751.49,198884.001,199398.309,199936.846,200873.916,202101.551,203343.02,204926.963,206653.26,208687.814,210855.469,213139.081,215446.013,217762.241,220240.363,222587.474,224823.895,227313.962,229536.273,231817.596,233949.964,235869.316,237469.827,238801.218,239839.055
Employment - Manufacturing,Seattle Region,215104.999,194103.997,177084.002,173909.998,180330.998,191613.998,199073,197626,184299.998,177885.001,186504.001,195868.001,200690,200023.999,201662,199611.999,192652.998,192186,197136.001,179213,165805,171971.999,176827.996,175875.588,181450.844,183962.238,184841.473,186057.716,187041.016,188015.044,188553.695,189757.992,190567.987,191230.131,192177.52,193035.446,193855.742,194656.917,195476.637,196325.908,197221.187,198114.792,199022.323,199919.733,200843.076,201774.427,202709.183,203618.573,204500.631,205381.689,206264.753,207143.037,208046.385,208951.88,209845.112,210741.849,211619.64,212467.59,213292.518,214076.306
Employment - Wholesale trade,Seattle Region,90369.001,87349.999,86456.997,87931.997,89485.003,91316.999,94253.001,94818.002,89417.002,87846.002,89333.997,89709.999,91566.999,96798.001,99035.001,95159.997,96622.004,97697.997,95793.999,91185,90559,95119.998,95406.999,95843.667,98112.076,97599.588,98243.263,98531.525,98922.645,99346.575,99724.034,100079.346,100543.659,100477.513,100590.914,100667.779,100737.141,100746.391,100765.417,100817.998,100897.805,100947.122,100994.436,101056.291,101149.21,101262.012,101388.961,101510.677,101637.79,101788.946,101942.779,102082.282,102269.133,102458.427,102640.885,102834.112,103010.033,103158.48,103287.458,103381.888
Employment - Retail trade,Seattle Region,226969.992,221987,222967.996,224194.991,227783.005,230996.003,231105.99,229057.006,218324.002,215333.003,219976.995,225948.004,234401,245470.997,256205.004,266945.002,282024.003,279672.002,284609.998,286248.002,296414.999,249530.992,251404.996,250155.315,254010.499,251372.991,249975.113,250004.031,250474.012,250720.109,250858.815,250592.964,250238.106,249618.293,248814.726,247735.389,246770.056,245689.386,244480.408,243359.633,242382.192,241406.755,240365.33,239411.067,238520.474,237710.488,236940.299,236166.204,235423.902,234729.929,234116.577,233470.46,232866.275,232375.68,231812.402,231298.212,230768.212,230210.523,229635.534,229024.331
Employment - Transportation and warehousing,Seattle Region,71294.001,67850,67599,70321,71877,73763,76165,75004,71279,69589,72829,75506,77073,83931,94338,103125.998,117920,131345,137212,141419,149190.001,167533.998,197604.002,209165.033,212076.709,213185.412,216239.142,219169.004,222415.161,225835.534,229351.303,232822.345,236507.753,239722.171,243200.742,246566.967,249930.491,253199.312,256490.685,259854.247,263309.408,266740.468,270180.895,273659.443,277227.316,280860.654,284556.464,288270.981,292032.613,295891.654,299834.447,303806.381,307923.867,312098.997,316305.25,320577.767,324863.329,329149.63,333443.181,337715.813
Employment - Information,Seattle Region,88132.001,82978.001,82337.002,82982.997,85783.001,89908.002,94533.999,98048.001,96199,95975.001,98263.001,99292.998,100851.002,104631.998,108546.999,115068,121703.998,128623,137112.003,143853,151935.998,160933.995,169680.999,169407.466,174820.687,176571.129,177112.522,179045.233,181227.83,183479.682,185789.947,188110.952,190531.292,192709.569,194435.872,195640.101,196293.409,196362.878,196661.019,196974.529,197303.54,197595.95,197898.031,198189.856,198501.102,198818.716,199137.184,199443.016,199730.894,200032.666,200326.89,200623.781,200980.273,201319.282,201672.157,202038.139,202406.647,202773.134,203139.503,203493.932
Employment - Finance and insurance,Seattle Region,98123,97160.002,99246.001,99316.001,100064.999,101831,105673,107902.999,107724,101142,105416.999,103642.001,105201,103875.001,106222,109285,110522,114280.001,112412.999,119474,128032.001,124343.999,124735.999,124239.563,126434.81,127805.765,128852.468,129886.979,131024.476,132170.524,133293.835,134319.5,135396.834,136350.302,137442.639,138492.494,139550.53,140592.14,141725.842,142929.824,144199.643,145456.649,146730.672,148025.215,149374.532,150750.682,152159.413,153568.871,154985.521,156446.384,157926.211,159411.742,160972.536,162535.487,164118.164,165717.893,167299.952,168847.282,170378.533,171862.469
