target_id,total_pop_chg,total_pop_chg_adj,county_id,rgid,dec_total_pop,dec_units,dec_hh,dec_gq,dec_hhpop,dec_hhpop_by_target,dec_hh_by_target,dec_hhsz_by_target,dec_hhsz,total_pop_2044,dec_gq_pct,gq_2044,hhpop_2044,hhsz_2044,hh_2044,units_chg,units_chg_adj,king_hhsz,vacancy_rate,units_2044,dec_hhsz_by_rgid,hhpop_initial_2044,initial_hhpop_2044_sum_by_rgid,hhpop_rgid_factored_2044,hhpop_factor,start,emp_chg,emp_chg_adj,control_id_2020,control_name_2020,Emp_TotNoMil_2020,Emp_ConRes_2020,TotEmpNoMil-ResCon_2020,Emp_Military_2020,Emp_Total_2020,emp_2044,hh_annual_change,hh_2050,total_pop_annual_change,total_pop_2050,emp_annual_change,emp_2050,gq_2050,hhpop_2050,hhsz_2050
1,,,53033,1,151854,64688,60953,1440,150414,150414,60953,2.4677046248749037,2.4677046248749037,228633,0.01690497992533634,1694,226939,2.3400734133594514,92780,35000.0,32668.0,2.0,4.7,97356.0,2.1090830832800433,217112.0,1104201.0,1154178.0,1.045260781325139,2019,70000.0,75395.32073633901,1,Bellevue,155023,8469,146554,0,155023,230418.32073633902,1326.125,100737,3199.125,247828,3141.471697347459,249267,1734,249562,2.4773618432155016
2,,,53033,1,737015,368308,345627,29918,707097,707097,345627,2.0458384327613293,2.0458384327613293,962434,0.3512244370876476,35195,927239,1.9400264019752544,457256,112000.0,111499.0,2.0,4.7,479807.0,2.1090830832800433,887089.0,1104201.0,1154178.0,1.045260781325139,2019,169500.0,156244.95504366144,2,Seattle,691359,32420,658939,0,691359,847603.9550436614,4651.208333333333,485163,9392.458333333334,1018789,6510.206460152559,886665,36025,1054814,2.1741435352654674
3,,,53033,2,77245,28050,27057,916,76329,76329,27057,2.8210444616919834,2.8210444616919834,102299,0.010753445563616727,1078,101221,2.7094110036518146,37659,12000.0,11342.0,2.52,4.4,39392.0,2.6238293244849378,102034.0,974246.0,966487.0,0.9920358923721524,2019,19520.0,20517.16012386216,3,Auburn,49459,6093,43366,0,49459,69976.16012386215,441.75,40310,1043.9166666666667,108562,854.8816718275897,75105,1103,109665,2.7205408087323244
4,,,53033,2,28956,12682,12006,289,28667,28667,12006,2.3877228052640347,2.3877228052640347,39563,0.0033927355544598626,340,39223,2.293236611511127,17241,5800.0,5352.0,2.52,4.4,18034.0,2.6238293244849378,39538.0,974246.0,966487.0,0.9920358923721524,2019,9500.0,9827.836989777183,4,Bothell,17875,1046,16829,0,17875,27702.836989777184,218.125,18550,441.9583333333333,42215,409.49320790738267,30160,348,42563,2.294501347708895
5,,,53033,2,52066,20785,19874,518,51548,51548,19874,2.593740565563047,2.593740565563047,67432,0.006081096945364044,609,66823,2.4911019037040263,27040,7500.0,7500.0,2.52,4.4,28285.0,2.6238293244849378,67359.0,974246.0,966487.0,0.9920358923721524,2019,4770.0,5041.847551587886,5,Burien,14064,1382,12682,0,14064,19105.847551587885,298.5833333333333,28832,640.25,71274,210.0769813161619,20366,624,71898,2.4936875693673697
6,,,53033,2,100688,37552,36016,1114,99574,99574,36016,2.764715681919147,2.764715681919147,123444,0.013077880303350473,1310,122134,2.655311248114014,46365,11260.0,10947.0,2.52,4.4,48499.0,2.6238293244849378,123114.0,974246.0,966487.0,0.9920358923721524,2019,20460.0,21154.537508216774,6,Federal Way,32257,2072,30185,0,32257,53411.537508216774,431.2083333333333,48952,948.1666666666666,129133,881.4390628423656,58700,1341,130474,2.6653456447131885
7,,,53033,2,39994,17284,16432,528,39466,39466,16432,2.4017770204479065,2.4017770204479065,44997,0.006198492639289991,621,44376,2.3067346778422166,19392,3500.0,3000.0,2.52,4.4,20284.0,2.6238293244849378,44732.0,974246.0,966487.0,0.9920358923721524,2019,7950.0,7101.426418822806,7,Issaquah,30610,975,29635,0,30610,37711.426418822804,123.33333333333333,20132,208.45833333333334,46248,295.8927674509502,39487,636,46884,2.3288297238227695
8,,,53033,2,136555,49153,47055,1525,135030,135030,47055,2.869620656678355,2.869620656678355,154317,0.017902843323706886,1794,152523,2.756064957178188,55785,10200.0,9199.0,2.52,4.4,58352.0,2.6238293244849378,153747.0,974246.0,966487.0,0.9920358923721524,2019,32000.0,36480.651279339254,8,Kent,78269,9021,69248,0,78269,114749.65127933925,363.75,57968,740.0833333333334,158758,1520.0271366391353,123870,1836,160594,2.770390560309136
9,,,53033,2,92215,40031,38046,1145,91070,91070,38046,2.3936813331230615,2.3936813331230615,115131,0.013441806954520907,1347,113784,2.2989593504349686,49891,13200.0,12156.0,2.52,4.4,52187.0,2.6238293244849378,114697.0,974246.0,966487.0,0.9920358923721524,2019,26490.0,25825.46642476363,9,Kirkland,57161,5099,52062,0,57161,82986.46642476362,493.5416666666667,52852,954.8333333333334,120860,1076.0611010318178,89443,1379,122239,2.3128547642473323
10,,,53033,2,73256,31738,29693,422,72834,72834,29693,2.452901357222241,2.452901357222241,109128,0.004954098283674955,496,108632,2.3558359389147574,46482,20000.0,16883.0,2.52,4.4,48621.0,2.6238293244849378,109504.0,974246.0,966487.0,0.9920358923721524,2019,24000.0,22134.34724045595,10,Redmond,101631,4116,97515,0,101631,123765.34724045594,699.5416666666666,50679,1494.6666666666667,118096,922.2644683523309,129299,508,118604,2.340298743069121
