target_id,total_pop_chg,total_pop_chg_adj,units_chg,units_chg_adj,rgid,county_id,ofm_total_pop,ofm_hhpop,ofm_units,ofm_hh,ofm_gq,ofm_vacancy_by_rgid,ofm_gq_pct,gq_2044,total_pop_2044,hhpop_2044,units_2044,hh_2044,hhsz_2044,king_hhsz,vacancy_rate,hhpop_initial_2044,initial_hhpop_2044_sum_by_rgid,hhpop_rgid_factored_2044,hhpop_factor,emp_chg,emp_chg_adj,control_id_2023,control_name_2023,Emp_TotNoMil_2023,Emp_ConRes_2023,Emp_Military_2023,Emp_Total_2023,TotEmpNoMil-ResCon_2023,emp_2044,res_con_pct,res_con_target_pct,emp_chg_cnty_sum,res_con_emp_chg_cnty_sum,res_con_emp_chg_target,emp_chg_adj_res_con,hh_annual_change,hh_2050,total_pop_annual_change,total_pop_2050,emp_annual_change,emp_2050,gq_2050,hhpop_2050,hhsz_2050
1,,,35000.0,31505.0,1,53033,153779.967490409,152183.7728388855,65925.61689625497,61856.60030540794,1596.1946515234902,,0.025216460753767888,2527,232392.0,229865.0,97430.61689625497,92851.0,2.3612401101291236,2.0,4.7,219244.0,1095599.0,1148676.0,1.0484456448025234,70000,66219,1,Bellevue,162594,8215,0,162594,154379,230383,0.05052461960465946,3536.7233723261625,490831.0,13743.268,1569.7134031027426,67788.71340310274,1475.9237949805743,101707,3743.430119504333,254853,3228.0476190476193,249751,2586,252267,2.4803307540287296
2,,,112000.0,75799.0,1,53033,768685.0499296482,746205.0283976754,398333.75641879515,369257.4592572984,22480.021531972852,,0.3551362486798236,35587,954398.0,918811.0,474132.75641879515,451849.0,1.9394864354223684,2.0,4.7,876355.0,1095599.0,1148676.0,1.0484456448025234,169500,157141,2,Seattle,685074,30068,0,685074,655006,845517,0.04389014909338261,7439.380271328352,490831.0,13743.268,3301.8400630529427,160442.84006305295,3932.9305115572197,475447,8843.473812873897,1007459,7640.142857142857,891358,36426,971033,2.042358033597856
3,,,12000.0,11032.0,2,53033,78677.6660560918,77696.6660560918,28688.404788167616,27543.94767650542,981.0,,0.015497701346033017,1553,103905.0,102352.0,39720.404788167616,37973.0,2.7060838566381147,2.52,4.4,102758.0,975797.0,971941.0,0.9960483584188105,19520,19520,3,Auburn,47889,5673,0,47889,42216,68435,0.11846144208482115,2312.367349495709,490831.0,13743.268,1026.304191558309,20546.30419155831,496.6215392140276,40953,1201.3016163765813,111113,978.3809523809524,74305,1590,109523,2.674358410861231
4,,,5800.0,4973.0,2,53033,29211.179577659426,29017.179577659426,12869.444801431611,12151.781450997221,194.00000000000003,,0.0030647849756680998,307,39227.0,38920.0,17842.44480143161,17057.0,2.2907637324022363,2.52,4.4,39074.0,975797.0,971941.0,0.9960483584188105,9500,9500,4,Bothell,17627,1442,0,17627,16185,27472,0.08180631985022976,777.1600385771827,490831.0,13743.268,344.9290205889321,9844.929020588932,233.58183566679898,18458,476.9438296352654,42089,468.8095238095238,30285,314,41775,2.263246288872034
5,,,7500.0,7162.0,2,53033,52403.67620044507,51940.67620157756,20998.794840707564,20041.81397681164,462.99999886751175,,0.007314409485894314,733,67402.0,66669.0,28160.794840707564,26922.0,2.4861974914617355,2.52,4.4,66933.0,975797.0,971941.0,0.9960483584188105,4770,4770,5,Burien,13955,1389,0,13955,12566,18936,0.09953421712647796,474.7782156932999,490831.0,13743.268,210.72208658060921,4980.722086580609,327.6279058661123,28888,714.2058952169014,71687,237.1904761904762,20359,750,70937,2.4555870949875382
6,,,11260.0,10709.0,2,53033,101491.36106107656,100210.36106107656,37882.37269596626,36226.00267716207,1281.0,,0.020237059555829048,2028,124815.0,122787.0,48591.37269596626,46453.0,2.653733234635585,2.52,4.4,123274.0,975797.0,971941.0,0.9960483584188105,20460,20460,6,Federal Way,32758,2467,0,32758,30291,53902,0.07530984797606692,1540.839489590329,490831.0,13743.268,683.8749159081459,21143.874915908145,486.99987251609195,49375,1110.6494732820686,131479,1006.8571428571429,59943,2076,129403,2.620820253164557
7,,,3500.0,2042.0,2,53033,40254.385517053495,39711.385517053495,17551.22550177804,16588.93232218319,543.0,,0.008578238359730815,860,43705.0,42845.0,19593.22550177804,18731.0,2.296474650182392,2.52,4.4,43015.0,975797.0,971941.0,0.9960483584188105,7950,7787,7,Issaquah,29733,889,0,29733,28844,37625,0.029899438334510475,237.70053475935828,490831.0,13743.268,105.49926473074585,7892.499264730746,102.00322275318138,19343,164.314975378405,44691,375.8095238095238,39880,880,43811,2.264953730031536
8,,,10200.0,8465.0,2,53033,137866.58961365055,136449.5806097133,49757.41952549119,47375.10054097186,1417.0090039372444,,0.022385710853882915,2243,155429.0,153186.0,58222.41952549119,55661.0,2.7630396168854148,2.52,4.4,153794.0,975797.0,971941.0,0.9960483584188105,32000,32000,8,Kent,77331,8746,0,77331,68585,110937,0.11309824003310445,3619.1436810593423,490831.0,13743.268,1606.2942293892063,33606.294229389205,394.56664090610207,58028,836.3052564928311,160447,1600.2857142857142,120539,2296,158151,2.7254256565795822
9,,,13200.0,10046.0,2,53033,96781.42297538681,95711.42297538681,42552.9211072286,39681.34345903497,1070.0,,0.016903710948272508,1694,117588.0,115894.0,52598.9211072286,50285.0,2.3138886575979543,2.52,4.4,116354.0,975797.0,971941.0,0.9960483584188105,26490,22182,9,Kirkland,58814,4166,0,58814,54648,81829,0.07083347502295372,1876.378753358044,490831.0,13743.268,832.7982056753601,23014.79820567536,504.93602576023943,53315,990.7893821244375,123533,1095.952380952381,88405,1734,121799,2.284516552564944
10,,,20000.0,14847.0,2,53033,77247.52815592854,76817.52815592854,34215.06461777765,31537.150921748544,430.0,,0.006793080100707643,681,109846.0,109165.0,49062.06461777765,46903.0,2.336699810099582,2.52,4.4,109598.0,975797.0,971941.0,0.9960483584188105,24000,20729,10,Redmond,101987,3441,0,101987,98546,123075,0.03373959426201378,809.7502622883308,490831.0,13743.268,359.39362683147766,21088.39362683148,731.707098964355,51293,1552.308183051022,119160,1004.1904761904761,129100,697,118463,2.3095354141890705
